queen presence,apparent hive temp,apparent temp diff,CCD
1,46.51,16.799999999999997,0
1,39.22,9.79,1
1,34.86,7.689999999999998,0
1,30.97,4.57,0
1,30.06,5.049999999999997,1
1,27.93,4.73,0
1,25.15,3.4299999999999997,1
1,21.57,3.120000000000001,0
1,19.95,3.25,0
1,19.84,4.52,0
1,20.93,6.1899999999999995,0
1,17.36,3.299999999999999,0
1,16.94,3.5600000000000005,0
1,16.17,3.280000000000001,0
1,16.93,4.66,0
1,15.57,3.700000000000001,0
1,16.36,4.949999999999999,0
1,17.71,5.210000000000001,0
1,32.2,16.470000000000002,0
1,43.6,25.48,0
1,51.23,31.279999999999998,0
1,53.7,31.710000000000004,0
1,55.0,32.08,0
1,47.78,23.290000000000003,0
1,42.14,16.6,1
1,32.97,7.549999999999997,0
1,29.95,5.460000000000001,0
1,55.55,28.509999999999998,0
1,56.11,26.5,0
1,52.89,19.910000000000004,0
1,49.63,13.350000000000001,0
1,42.89,5.600000000000001,0
1,39.82,3.210000000000001,0
1,41.21,4.960000000000001,0
1,41.77,5.900000000000006,0
1,40.07,5.079999999999998,0
1,39.97,9.209999999999997,0
1,41.08,14.229999999999997,0
1,41.83,18.27,0
1,41.26,19.54,0
1,41.88,21.37,1
1,39.96,20.42,0
1,39.19,20.659999999999997,0
1,39.36,21.43,0
1,38.29,21.07,0
1,37.26,20.56,0
1,37.58,21.479999999999997,1
1,36.87,21.339999999999996,0
1,35.88,19.150000000000002,0
1,40.36,19.56,0
1,42.11,19.74,1
1,55.31,30.6,1
1,61.97,33.91,0
1,51.12,21.109999999999996,1
1,48.06,17.950000000000003,0
1,43.03,10.11,0
0,38.65,4.539999999999999,1
0,41.11,7.759999999999998,1
0,38.85,6.829999999999998,0
0,39.53,8.77,1
0,42.12,13.929999999999996,1
0,43.76,18.759999999999998,1
0,45.06,22.900000000000002,1
0,44.45,23.76,1
0,43.83,24.369999999999997,1
0,42.14,23.43,1
0,40.96,23.12,1
0,40.65,23.31,0
0,40.92,24.310000000000002,1
0,39.15,23.099999999999998,0
0,38.23,22.119999999999997,1
0,38.89,22.27,1
0,38.84,21.010000000000005,0
0,39.41,19.419999999999998,1
0,40.51,18.009999999999998,0
0,43.95,19.040000000000003,0
0,47.2,19.53,1
0,48.67,18.580000000000002,1
0,44.41,12.279999999999994,1
0,41.3,9.969999999999999,1
0,44.78,12.18,0
0,40.3,7.07,1
0,41.91,8.079999999999998,1
0,42.04,10.559999999999999,1
0,42.01,12.659999999999997,1
0,43.04,17.43,0
0,43.13,20.910000000000004,0
0,42.7,21.900000000000002,0
0,43.68,23.93,1
0,42.77,24.26,1
0,42.18,24.61,1
0,40.77,24.070000000000004,1
0,38.58,21.86,1
0,38.64,21.76,0
0,39.33,21.9,1
0,37.51,20.43,0
0,38.33,21.08,0
0,39.52,21.640000000000004,1
0,39.4,19.16,1
0,31.88,10.329999999999998,1
0,43.57,17.45,0
0,45.27,15.960000000000004,1
0,47.78,18.240000000000002,0
0,48.88,17.980000000000004,1
0,43.53,10.280000000000001,1
0,40.48,5.6399999999999935,1
0,42.1,8.370000000000005,1
0,38.73,5.559999999999995,1
0,42.5,11.68,1
1,39.01,11.069999999999997,0
1,39.37,14.429999999999996,0
1,39.31,16.94,1
1,37.33,16.509999999999998,0
1,36.81,17.3,0
1,36.33,17.38,0
1,35.97,17.83,0
1,35.33,18.04,0
1,35.29,18.5,0
1,34.36,17.79,0
1,33.8,18.519999999999996,0
1,34.14,18.97,0
1,36.47,18.98,0
1,41.31,21.660000000000004,0
1,42.94,19.939999999999998,0
1,45.44,19.54,0
1,50.05,22.199999999999996,0
1,47.16,17.069999999999997,0
1,47.71,15.91,0
1,43.2,10.57,0
1,42.34,9.010000000000005,0
1,41.7,9.46,0
1,40.77,10.200000000000003,0
1,29.56,0.9499999999999993,0
1,39.38,13.190000000000001,0
1,38.86,16.07,0
1,38.05,17.259999999999998,0
1,37.83,18.369999999999997,1
1,36.64,18.23,0
1,37.11,19.71,1
1,35.79,19.33,0
1,35.03,19.340000000000003,0
1,33.98,18.989999999999995,0
1,33.97,19.68,0
1,33.46,19.740000000000002,0
1,31.79,18.299999999999997,0
1,34.74,18.96,0
1,38.72,21.18,0
1,48.22,28.08,0
1,54.56,31.630000000000003,0
1,58.73,34.03,1
1,52.75,25.95,0
1,44.36,16.72,0
1,37.49,8.860000000000003,0
1,40.16,12.609999999999996,0
1,39.22,11.89,0
1,24.59,1.379999999999999,0
1,34.97,13.27,0
1,35.51,16.54,0
1,34.76,17.839999999999996,0
1,33.89,18.07,0
1,34.14,18.86,0
1,33.42,18.720000000000002,0
1,33.84,19.620000000000005,0
1,32.65,18.56,0
1,32.6,18.67,0
1,31.93,18.35,0
1,31.77,18.41,0
1,31.66,18.509999999999998,0
1,33.13,19.080000000000002,0
1,37.4,21.65,0
1,43.24,24.48,0
1,51.89,30.46,0
1,57.8,33.39,0
1,50.69,24.63,0
1,42.58,15.909999999999997,0
1,37.28,10.030000000000001,0
1,41.72,14.369999999999997,0
1,39.29,12.2,0
